bigram,count
i ngilizce,15
teşekkür ederim,13
6 aylık,6
sorun olur,5
ayrı ayrı,5
ne kadar,5
yeminli tercümana,5
ıslak imzalı,4
uçak bileti,4
mail geldi,4
hayırlı olsun,4
başvuru formunu,4
video teşekkürler,4
adli sicil,4
e devletten,3
e imzalı,3
kadar sürede,3
hesap dökümü,3
sorun olmadı,3
bilgilendirici video,3
çalışma belgesi,3
almamız gerekiyor,3
kayıt örneği,3
yüklediniz sisteme,3
2 imza,3
ödeme onay,3
mail ne,3
10 gün,3
ek ödeme,3
yüklemem lazım,2
hesabımın 6,2
banka hesabımın,2
6 ay,2
aralık 2025,2
izin yazısı,2
kimlik pasaport,2
gün geçti,2
check list,2
rica etsem,2
gün önceden,2
kaç gün,2
merhaba önemli,2
5 gün,2
devlet memuruyum,2
video olmuş,2
aylık hesap,2
niyet mektubunu,2
olmak zorunda,2
düz mail,2
7 gün,2
